NAMES                                 IMAGE                              STATUS                  PORTS
infra_observability-prometheus-1      prom/prometheus:v2.52.0            Up 6 hours              127.0.0.1:9004->9090/tcp
infra_observability-alloy-1           grafana/alloy:v1.2.1               Up 6 hours              
infra_observability-grafana-1         grafana/grafana:11.1.0             Up 6 hours              127.0.0.1:9001->3000/tcp
infra_observability-loki-1            grafana/loki:3.0.0                 Up 6 hours              3100/tcp
infra_observability-cadvisor-1        gcr.io/cadvisor/cadvisor:v0.49.1   Up 6 hours (healthy)    8080/tcp
infra_observability-node_exporter-1   prom/node-exporter:v1.8.1          Up 6 hours              9100/tcp
hex-atlas-app-1                       7db12c5b0ff1                       Up 13 hours (healthy)   0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp
hex-atlas-sql-1                       postgres:16-alpine                 Up 13 hours (healthy)   0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp
hex-atlas-typesense-1                 atlas-typesense:27.1               Up 13 hours (healthy)   0.0.0.0:8108->8108/tcp, [::]:8108->8108/tcp
codeswarm-mcp                         codeswarm-mcp                      Up 36 hours (healthy)   127.0.0.1:3100->3100/tcp, 0.0.0.0:8000->8000/tcp
